"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"DRAGON BALL Z DOKKAN BATTLE","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Get 'Em","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Infinite Painter","Productivity",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"LEGO® Juniors Create & Cruise","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"My Little Pony: Harmony Quest","Entertainment",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Thomas & Friends: Race On!","Games",0.00,25000.00,3.0,4.1,4.10,108,240000,96000,119000.00
"Tom's Love Letters","Entertainment",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Tom Loves Angela","Entertainment",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"UNO ™ & Friends","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Dr. Panda Farm","Education",2.99,29900.00,4.0,4.1,4.09,108,240000,96000,114100.00
"Peggle Blast","Games",0.00,25000.00,4.0,4.1,4.09,108,240000,96000,119000.00
"Edmodo","Education",0.00,25000.00,3.5,4.1,4.08,108,240000,96000,119000.00
"Facebook","Social Networking",0.00,25000.00,3.5,4.1,4.08,108,240000,96000,119000.00
